City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Isangel,VU,77.27,scattered clouds,-19.55,169.2667,Tanna Lodge
13,George Town,MY,89.55,light rain,5.4112,100.3354,Cititel Penang
17,Harper,LR,80.1,overcast clouds,4.375,-7.7169,Screensaver
21,Inverell,AU,73.11,clear sky,-29.7833,151.1167,Sapphire City Motor Inn
23,Sabang,ID,82.92,overcast clouds,5.8933,95.3214,Hotel Citra
24,Puerto Ayora,EC,71.4,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
27,Port Blair,IN,87.84,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
30,Lakatoro,VU,81.57,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
31,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
33,Vao,NC,74.37,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
35,Bambous Virieux,MU,80.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
37,Rikitea,PF,77.54,light rain,-23.1203,-134.9692,People ThankYou
38,Champerico,GT,83.44,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
39,Meadow Lake,US,74.91,scattered clouds,34.8014,-106.5436,TumbleWeed RV Park
42,Nikki,BJ,77.54,broken clouds,9.9401,3.2108,Monnon
44,Atuona,PF,78.87,few clouds,-9.8,-139.0333,Villa Enata
47,Tautira,PF,80.94,few clouds,-17.7333,-149.15,Pension Oaoa
49,Tuy Hoa,VN,85.08,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
50,Kapaa,US,80.58,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
52,Ternate,ID,85.86,few clouds,0.8,127.4,Sahid Bela Ternate Hotel
61,Georgetown,MY,89.55,light rain,5.4112,100.3354,Cititel Penang
62,Touros,BR,75.4,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
63,Shingu,JP,72.03,clear sky,33.7333,135.9833,Shingu UI Hotel
65,San Policarpo,PH,84.99,broken clouds,12.1791,125.5072,Agapita M. Nicart
66,Bengkulu,ID,83.14,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
68,San Jose De Guanipa,VE,76.55,overcast clouds,8.8872,-64.1651,HOTEL 283 SUITES
69,Saint-Philippe,RE,80.19,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
71,Hobyo,SO,85.5,broken clouds,5.3505,48.5268,Iftin hotel hobyo
76,Dambulla,LK,87.21,overcast clouds,7.86,80.6517,Tinaya Treats
78,Brownwood,US,88.92,clear sky,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
83,Puerto Leguizamo,CO,70.45,overcast clouds,-0.1934,-74.7819,la casona de juancho
85,Trincomalee,LK,85.51,overcast clouds,8.5711,81.2335,Welcombe Hotel
87,Alyangula,AU,85.87,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
92,Dubti,ET,87.3,scattered clouds,11.7361,41.0853,degu Shiferaw
94,Souillac,MU,78.01,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
100,Hilo,US,76.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
101,Kahului,US,75.85,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
102,Sao Filipe,CV,72.39,clear sky,14.8961,-24.4956,Hotel Xaguate
108,Morgan City,US,75.0,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
109,Ambilobe,MG,77.59,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
110,Asyut,EG,76.98,broken clouds,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
115,Salalah,OM,84.04,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
116,Jalingo,NG,77.85,overcast clouds,8.8833,11.3667,Debright Motel
120,Pringsewu,ID,82.71,overcast clouds,-5.3582,104.9744,Urban Style by Front One
127,Mahebourg,MU,81.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
130,Bonthe,SL,72.9,moderate rain,7.5264,-12.505,Bonthe Holiday Village
132,Buala,SB,83.14,light rain,-8.145,159.5921,Maringe Lagoon Lodge
134,Marana,US,84.61,clear sky,32.4367,-111.2254,Valley of the Sun Mobile Home & RV Park 55+
137,Pochutla,MX,77.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
142,Sungaipenuh,ID,80.38,overcast clouds,-2.0833,101.3833,Penginapan Citra Alam
143,Kavieng,PG,85.39,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
148,Arraial Do Cabo,BR,71.42,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
149,Saint-Leu,RE,79.66,clear sky,-21.15,55.2833,La Caz Oceane
151,Saint-Pierre,RE,80.28,clear sky,-21.3393,55.4781,Alize Plage
152,Hithadhoo,MV,84.61,scattered clouds,-0.6,73.0833,Scoop Guest House
154,Carnarvon,AU,81.41,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
155,Porto Velho,BR,75.25,clear sky,-8.7619,-63.9039,Ecos Hotel Conforto
158,San Andres,CO,81.9,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
162,Chabahar,IR,83.52,clear sky,25.2919,60.643,هتل گدروشیا
164,Denpasar,ID,87.46,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
165,Porto Novo,BJ,78.06,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
166,Paracuru,BR,78.12,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
167,Inhambane,MZ,71.42,clear sky,-23.865,35.3833,Oceano
169,Srivardhan,IN,89.96,clear sky,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
175,Kaduqli,SD,82.92,broken clouds,11.0167,29.7167,Nussyba
184,Ormara,PK,82.58,clear sky,25.2088,64.6357,Kenara Colony house for Rent
185,Cayenne,GF,81.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
186,Kousseri,CM,88.41,overcast clouds,12.0769,15.0306,Le Pilotis
189,Waingapu,ID,86.2,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
196,Bima,ID,88.75,overcast clouds,-8.4667,118.7167,Lambitu Hotel
198,Chirongui,YT,84.13,broken clouds,-12.9319,45.1483,La Villa Mahatsara
199,Ruteng,ID,72.61,broken clouds,-8.6136,120.4721,Hotel FX 72
200,Jiaocheng,CN,71.53,light rain,24.6774,116.1389,Changtan Tourism Resort
202,Olinda,BR,74.93,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
204,Ipu,BR,71.62,overcast clouds,-4.3222,-40.7108,Our hostel Corner
205,Canton,CN,75.15,moderate rain,23.1167,113.25,Shangjiuwan Hotel
206,Yala,TH,89.8,overcast clouds,6.3333,101.25,งานแต่ง Murnee - Wahid
207,San Patricio,US,80.69,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
209,Avarua,CK,80.62,light rain,-21.2078,-159.775,Paradise Inn
211,Padang,ID,87.85,overcast clouds,-0.9492,100.3543,Mercure Padang
217,Palu,ID,83.68,broken clouds,-0.8917,119.8707,Hotel Santika Palu
218,Acapulco,MX,78.93,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
223,Saint-Joseph,RE,79.18,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
224,Lorengau,PG,83.53,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
232,Cravo Norte,CO,72.37,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
233,Hasaki,JP,70.2,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
235,Geraldton,AU,84.61,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
242,Faanui,PF,82.2,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
246,Tra Vinh,VN,83.14,moderate rain,9.9347,106.3453,Hồng Ân
249,Teahupoo,PF,75.16,few clouds,-17.8333,-149.2667,Vanira Lodge
252,Ferkessedougou,CI,78.26,overcast clouds,9.6,-5.2,Hotel Chateau
262,Bandarbeyla,SO,85.32,broken clouds,9.4942,50.8122,JABIR HOTEL
264,Caraballeda,VE,75.27,broken clouds,10.6112,-66.8522,Hotel 15 Letras
265,Lamu,KE,82.62,scattered clouds,-2.2717,40.902,Lamu House
266,Mecca,SA,82.47,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
267,Enterprise,US,77.79,broken clouds,36.0252,-115.2419,Las Vegas Motorcoach Resort
275,Kanigoro,ID,86.02,overcast clouds,-8.13,112.219,Musafer Villa ( Villa Erlin )
281,Kirakira,SB,82.89,overcast clouds,-10.4544,161.9205,SanBiz Lodge
288,Butaritari,KI,82.27,few clouds,3.0707,172.7902,Isles Sunset Lodge
290,Inongo,CD,71.58,overcast clouds,-1.95,18.2667,Hotel Du Lac
291,Victoria,HK,84.18,broken clouds,22.2855,114.1577,Mini Hotel Central
292,Tagusao,PH,86.43,broken clouds,9.1924,117.8141,Green Villa beach resort
294,Sretensk,RU,72.99,broken clouds,52.2453,117.7093,"""Shustovskaya"""
299,Boa Vista,BR,76.98,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
300,Manicore,BR,71.55,overcast clouds,-5.8092,-61.3003,Hotel Durval
302,Haapiti,PF,80.33,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
303,Saint George,US,79.39,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
304,Itarema,BR,75.96,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
307,Japura,ID,88.61,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
310,Nanakuli,US,76.98,overcast clouds,21.3906,-158.1547,Camp Pālehua
