City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Farmington,US,2022-05-03 02:40:07,36.7281,-108.2187,66.88,19,0,1.01
1,Narsaq,GL,2022-05-03 02:40:08,60.9167,-46.05,39.42,91,99,3.94
2,Qui Nhon,VN,2022-05-03 02:40:09,13.7667,109.2333,80.47,72,100,18.57
3,Buchanan,LR,2022-05-03 02:40:09,5.8808,-10.0467,79.43,86,100,3.22
4,Prince George,CA,2022-05-03 02:39:30,53.9166,-122.753,51.24,76,0,10.36
5,Grand Forks,US,2022-05-03 02:40:10,47.9417,-97.4337,39.13,81,100,6.91
6,Sola,VU,2022-05-03 02:40:11,-13.8833,167.55,82.08,69,98,7.18
7,Avarua,CK,2022-05-03 02:40:11,-21.2078,-159.775,82.45,83,75,14.97
8,Camacha,PT,2022-05-03 02:40:12,33.0833,-16.3333,60.22,82,75,13.8
9,Ushuaia,AR,2022-05-03 02:36:37,-54.8,-68.3,37.06,81,35,0.0
10,San Carlos De Bariloche,AR,2022-05-03 02:40:13,-41.1456,-71.3082,47.95,46,20,10.36
11,Port Alfred,ZA,2022-05-03 02:40:13,-33.5906,26.891,64.71,61,96,8.9
12,Rikitea,PF,2022-05-03 02:40:14,-23.1203,-134.9692,77.47,74,100,11.25
13,Fort Nelson,CA,2022-05-03 02:39:06,58.8053,-122.7002,51.39,46,100,5.75
14,Airai,TL,2022-05-03 02:40:15,-8.9266,125.4092,74.62,55,53,3.8
15,Punta Arenas,CL,2022-05-03 02:35:30,-53.15,-70.9167,42.12,75,100,16.53
16,Leshukonskoye,RU,2022-05-03 02:40:15,64.8989,45.7622,35.46,98,100,10.87
17,Esso,RU,2022-05-03 02:40:16,55.9333,158.7,33.57,86,81,0.2
18,Puerto Madryn,AR,2022-05-03 02:40:17,-42.7692,-65.0385,56.17,38,4,6.82
19,Xining,CN,2022-05-03 02:40:17,36.6167,101.7667,51.91,27,0,2.73
20,Cherskiy,RU,2022-05-03 02:40:18,68.75,161.3,32.67,97,81,1.79
21,Barrow,US,2022-05-03 02:40:18,71.2906,-156.7887,19.42,93,100,9.22
22,Oxford,GB,2022-05-03 02:39:30,51.7522,-1.256,52.75,89,100,3.44
23,Kavaratti,IN,2022-05-03 02:40:19,10.5669,72.642,84.65,70,79,13.51
24,Atuona,PF,2022-05-03 02:40:20,-9.8,-139.0333,79.61,79,74,15.48
25,Cidreira,BR,2022-05-03 02:40:20,-30.1811,-50.2056,61.48,90,100,16.35
26,Beloha,MG,2022-05-03 02:40:21,-25.1667,45.05,62.53,85,0,4.74
27,Walvis Bay,NA,2022-05-03 02:40:21,-22.9575,14.5053,65.35,63,0,3.44
28,Busselton,AU,2022-05-03 02:40:22,-33.65,115.3333,62.26,58,47,12.59
29,Hermanus,ZA,2022-05-03 02:40:22,-34.4187,19.2345,60.98,95,23,6.44
30,New Norfolk,AU,2022-05-03 02:40:23,-42.7826,147.0587,69.93,33,100,9.4
31,Clyde River,CA,2022-05-03 02:40:23,70.4692,-68.5914,1.63,71,0,12.66
32,Tarko-Sale,RU,2022-05-03 02:40:24,64.9225,77.785,25.32,76,93,6.55
33,Praia Da Vitoria,PT,2022-05-03 02:40:25,38.7333,-27.0667,61.05,82,75,4.18
34,Castro,BR,2022-05-03 02:40:25,-24.7911,-50.0119,59.47,90,3,2.64
35,Imperial,US,2022-05-03 02:40:26,33.0334,-115.4175,89.82,21,1,11.68
36,Chernyshevskiy,RU,2022-05-03 02:40:26,63.0128,112.4714,32.88,65,100,11.79
37,Suici,RO,2022-05-03 02:40:27,45.25,24.5333,43.83,69,100,3.49
38,Kapaa,US,2022-05-03 02:37:36,22.0752,-159.319,80.58,87,40,17.27
39,Atbasar,KZ,2022-05-03 02:40:28,51.8,68.3333,46.11,35,22,11.79
40,Leningradskiy,RU,2022-05-03 02:40:29,69.3833,178.4167,20.01,90,73,10.89
41,Olafsvik,IS,2022-05-03 02:40:29,64.8945,-23.7142,35.46,94,100,18.3
42,Bilibino,RU,2022-05-03 02:40:30,68.0546,166.4372,29.34,87,93,1.97
43,Sitka,US,2022-05-03 02:40:30,57.0531,-135.33,44.49,70,100,14.97
44,Sulangan,PH,2022-05-03 02:40:31,11.1373,123.7228,82.99,72,76,9.26
45,Thompson,CA,2022-05-03 02:40:31,55.7435,-97.8558,30.36,64,75,3.44
46,Pisco,PE,2022-05-03 02:40:32,-13.7,-76.2167,64.45,77,0,2.3
47,Thinadhoo,MV,2022-05-03 02:41:32,0.5333,72.9333,84.63,75,100,17.81
48,Carnarvon,AU,2022-05-03 02:41:33,-24.8667,113.6333,77.07,36,0,12.66
49,Upernavik,GL,2022-05-03 02:41:33,72.7868,-56.1549,-0.45,95,98,3.76
50,Brae,GB,2022-05-03 02:41:34,60.3964,-1.353,39.6,65,100,4.36
51,Sao Filipe,CV,2022-05-03 02:41:34,14.8961,-24.4956,72.45,77,98,7.11
52,Albany,US,2022-05-03 02:40:47,42.6001,-73.9662,50.18,87,100,1.07
53,Dunedin,NZ,2022-05-03 02:36:43,-45.8742,170.5036,60.8,66,0,5.99
54,Catabola,AO,2022-05-03 02:41:35,-12.15,17.2833,56.12,72,18,3.67
55,Bredasdorp,ZA,2022-05-03 02:41:36,-34.5322,20.0403,57.49,84,39,5.61
56,Hofn,IS,2022-05-03 02:41:36,64.2539,-15.2082,38.48,89,100,14.65
57,Savannah Bight,HN,2022-05-03 02:41:37,16.45,-85.85,82.2,80,23,18.01
58,Bengkulu,ID,2022-05-03 02:41:37,-3.8004,102.2655,83.61,70,67,3.56
59,Ostrovnoy,RU,2022-05-03 02:41:38,68.0531,39.5131,31.32,98,100,21.92
60,Butaritari,KI,2022-05-03 02:41:38,3.0707,172.7902,80.64,80,17,9.98
61,Yellowknife,CA,2022-05-03 02:38:23,62.456,-114.3525,45.12,36,20,12.66
62,Otjimbingwe,NA,2022-05-03 02:41:39,-22.35,16.1333,64.85,43,0,7.43
63,Jamestown,US,2022-05-03 02:41:40,42.097,-79.2353,49.59,93,100,1.99
64,Hobart,AU,2022-05-03 02:41:40,-42.8794,147.3294,70.27,49,0,13.8
65,Tazovskiy,RU,2022-05-03 02:41:41,67.4667,78.7,17.29,93,83,10.2
66,Aleksandrov Gay,RU,2022-05-03 02:41:42,50.147,48.5704,45.0,57,11,6.46
67,Chkalovskoye,RU,2022-05-03 02:41:42,44.8392,133.0436,56.77,45,99,14.09
68,Barghat,IN,2022-05-03 02:41:43,22.0333,79.7167,95.97,18,4,5.75
69,Erzin,TR,2022-05-03 02:41:43,36.9559,36.2,63.14,77,95,2.37
70,Pedernales,DO,2022-05-03 02:41:44,18.0384,-71.744,79.2,70,59,5.21
71,Chokurdakh,RU,2022-05-03 02:41:44,70.6333,147.9167,28.24,89,100,9.93
72,Luderitz,NA,2022-05-03 02:41:45,-26.6481,15.1594,66.72,48,20,7.72
73,Tuktoyaktuk,CA,2022-05-03 02:41:45,69.4541,-133.0374,42.8,65,20,8.05
74,Voh,NC,2022-05-03 02:41:46,-20.9667,164.7,82.9,68,19,6.51
75,Arganil,PT,2022-05-03 02:41:46,40.2183,-8.054,53.56,92,76,3.85
76,Hilo,US,2022-05-03 02:41:47,19.7297,-155.09,76.28,97,100,5.75
77,Provideniya,RU,2022-05-03 02:41:48,64.3833,-173.3,30.45,59,66,4.23
78,Cayenne,GF,2022-05-03 02:41:48,4.9333,-52.3333,75.09,1,100,0.0
79,Bambous Virieux,MU,2022-05-03 02:41:49,-20.3428,57.7575,74.21,100,75,0.0
80,San Cristobal,VE,2022-05-03 02:41:49,7.7669,-72.225,75.38,87,58,3.0
81,Aberdeen,GB,2022-05-03 02:40:57,57.1437,-2.0981,38.66,92,100,2.3
82,Sorong,ID,2022-05-03 02:41:50,-0.8833,131.25,84.0,74,19,6.15
83,Kruisfontein,ZA,2022-05-03 02:41:51,-34.0033,24.7314,63.91,42,100,7.52
84,Fortuna,US,2022-05-03 02:41:51,40.5982,-124.1573,52.66,71,75,16.11
85,Hasaki,JP,2022-05-03 02:39:18,35.7333,140.8333,68.29,56,42,8.5
86,Saint George,US,2022-05-03 02:40:58,37.1041,-113.5841,79.39,15,0,6.91
87,Kasama,ZM,2022-05-03 02:41:52,-10.2129,31.1808,56.62,88,72,5.64
88,Mar Del Plata,AR,2022-05-03 02:41:53,-38.0023,-57.5575,49.87,67,75,4.0
89,Dikson,RU,2022-05-03 02:41:53,73.5069,80.5464,10.22,93,100,12.62
90,Bluff,NZ,2022-05-03 02:42:54,-46.6,168.3333,60.26,65,33,5.32
91,Port Blair,IN,2022-05-03 02:42:55,11.6667,92.75,86.04,79,75,5.75
92,Manyana,BW,2022-05-03 02:42:55,-23.4,21.7167,55.29,59,0,8.21
93,La Suiza,CR,2022-05-03 02:42:56,9.8524,-83.6133,77.54,97,100,1.92
94,Lebu,CL,2022-05-03 02:42:57,-37.6167,-73.65,50.29,87,5,14.83
95,Tasiilaq,GL,2022-05-03 02:42:57,65.6145,-37.6368,23.16,95,99,2.42
96,Ribeira Grande,PT,2022-05-03 02:42:58,38.5167,-28.7,61.65,86,75,11.83
