City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,42.097,-79.2353,43.72,86,1,4.32,clear sky
1,Dikson,RU,73.5069,80.5464,14.52,91,90,16.33,overcast clouds
2,Qaanaaq,GL,77.484,-69.3632,16.05,76,100,6.22,overcast clouds
3,La Palma,US,33.8464,-118.0467,66.92,84,75,5.01,broken clouds
4,Shostka,UA,51.863,33.4698,50.54,74,99,11.14,overcast clouds
5,Shelburne,CA,44.0787,-80.2041,41.79,39,0,3.47,clear sky
6,Springbok,ZA,-29.6643,17.8865,40.23,89,0,1.81,clear sky
7,Pocone,BR,-16.2567,-56.6228,63.37,54,0,2.39,clear sky
8,Isangel,VU,-19.55,169.2667,77.27,60,31,16.4,scattered clouds
9,Cidreira,BR,-30.1811,-50.2056,62.26,80,0,11.52,clear sky
10,Lewiston,US,44.1003,-70.2148,40.62,77,100,1.01,overcast clouds
11,Coihaique,CL,-45.5752,-72.0662,57.15,77,97,4.61,light rain
12,Kodiak,US,57.79,-152.4072,47.14,66,4,7.38,clear sky
13,George Town,MY,5.4112,100.3354,89.55,66,40,6.91,light rain
14,Barrow,US,71.2906,-156.7887,24.28,92,100,7.34,overcast clouds
15,Ponta Do Sol,PT,32.6667,-17.1,63.01,72,72,5.93,broken clouds
16,Khani,GE,41.9563,42.9566,44.17,99,100,2.73,overcast clouds
17,Harper,LR,4.375,-7.7169,80.1,84,100,6.42,overcast clouds
18,Talnakh,RU,69.4865,88.3972,18.21,87,16,13.29,few clouds
19,Bluff,NZ,-46.6,168.3333,58.8,91,100,2.24,overcast clouds
20,Vardo,NO,70.3705,31.1107,33.78,75,75,27.63,broken clouds
21,Inverell,AU,-29.7833,151.1167,73.11,29,0,3.0,clear sky
22,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,86,20,12.66,few clouds
23,Sabang,ID,5.8933,95.3214,82.92,73,99,5.19,overcast clouds
24,Puerto Ayora,EC,-0.7393,-90.3518,71.4,93,21,8.19,few clouds
